File: 10_0.png, Recognized Text: k
File: 2_5.png, Recognized Text: U
File: 30_0.png, Recognized Text: c
File: 30_1.png, Recognized Text: 6
File: 30_2.png, Recognized Text: 2
File: 30_3.png, Recognized Text: b
File: 30_4.png, Recognized Text: PB
File: 30_5.png, Recognized Text: h
File: 31_0.png, Recognized Text: e
File: 31_1.png, Recognized Text: 2
File: 31_2.png, Recognized Text: y
File: 31_3.png, Recognized Text: d
File: 31_4.png, Recognized Text: q
File: 31_5.png, Recognized Text: k
File: 3_0.png, Recognized Text: y
File: 3_1.png, Recognized Text: Zz
File: 3_2.png, Recognized Text: z
File: 3_3.png, Recognized Text: q
File: 3_4.png, Recognized Text: D
File: 3_5.png, Recognized Text: 8
File: 4_0.png, Recognized Text: Zz
File: 4_1.png, Recognized Text: v
File: 4_2.png, Recognized Text: B
File: 4_3.png, Recognized Text: q
File: 4_4.png, Recognized Text: p
File: 4_5.png, Recognized Text: 7
File: 5_0.png, Recognized Text: 3
File: 5_1.png, Recognized Text: K
File: 5_2.png, Recognized Text: K
File: 5_3.png, Recognized Text: Y
File: 5_4.png, Recognized Text: 
File: 5_5.png, Recognized Text: ul
File: 6_0.png, Recognized Text: in
File: 6_1.png, Recognized Text: N
File: 6_2.png, Recognized Text: v
File: 6_3.png, Recognized Text: t
File: 6_4.png, Recognized Text: k
File: 6_5.png, Recognized Text: b
File: 7_0.png, Recognized Text: b
File: 7_1.png, Recognized Text: M
File: 7_2.png, Recognized Text: b
File: 7_3.png, Recognized Text: G
File: 7_4.png, Recognized Text: a
File: 7_5.png, Recognized Text: m
File: 8_0.png, Recognized Text: 9
File: 8_1.png, Recognized Text: u
File: 8_2.png, Recognized Text: n
File: 8_3.png, Recognized Text: 
File: 8_4.png, Recognized Text: e
File: 8_5.png, Recognized Text: I
File: 9_0.png, Recognized Text: c
File: 9_1.png, Recognized Text: z
File: 9_2.png, Recognized Text: N
File: 9_3.png, Recognized Text: 3
File: 9_4.png, Recognized Text: M
File: 9_5.png, Recognized Text: 
